Book Name,Author,Average Rating,Number of Ratings,Score on Goodreads
"The Soldier's Art (A Dance to the Music of Time, #8)",Anthony Powell,4.2,865,28
The Poisoned Chocolates Case,Anthony Berkeley,3.77,3031,27
Z,Vassilis Vassilikos,4.03,1382,27
Black Sunday,Thomas  Harris,3.62,9016,27
Frost in May (Frost in May #1),Antonia White,3.85,2070,27
"The Military Philosophers (A Dance to the Music of Time, #9)",Anthony Powell,4.06,840,27
Tourist Season,Carl Hiaasen (Goodreads Author),3.92,22060,26
The Tree of Man,Patrick White,3.96,2015,26
The Adventures of Baron Münchausen,Rudolf Erich Raspe,3.81,7965,26
La Bête humaine,Émile Zola,4.04,11535,25
The Friends of Eddie Coyle,George V. Higgins,4.06,9446,25
"I'll Go to Bed at Noon (The Jones Trilogy, #2)",Gerard Woodward (Goodreads Author),3.73,539,25
The Devil to Pay in the Backlands,João Guimarães Rosa,4.6,5382,25
A Glastonbury Romance,John Cowper Powys,4.23,431,24
Crome Yellow,Aldous Huxley,3.42,8264,24
The Driver's Seat,Muriel Spark,3.61,9907,24
Master Georgie,Beryl Bainbridge,3.52,2299,24
The Hunters,James Salter,4.1,2275,24
Giovanni’s Room,James Baldwin,4.32,157162,23
An Ice-Cream War,William  Boyd,3.9,4049,22
Nightwood,Djuna Barnes,3.61,12871,22
Dirty Tricks,Michael Dibdin,3.63,539,21
"A Rage in Harlem (Harlem Cycle, #1)",Chester Himes,3.89,6678,21
52 Pickup,Elmore Leonard,3.95,8061,21
The Garden of the Finzi-Continis,Giorgio Bassani,3.78,12557,21
The Young Lions,Irwin Shaw,4.22,4237,21
"Death at the President's Lodging (Sir John Appleby, #1)",Michael Innes,3.56,1893,20
Love for Lydia,H.E. Bates,3.9,664,20
Castle Rackrent,Maria Edgeworth,3.17,4002,19
"The Pursuit of Love (Radlett & Montdore, #1)",Nancy Mitford,3.95,19635,19
"A Taste for Death (Adam Dalgliesh, #7)",P.D. James,4.02,15679,19
More Die of Heartbreak,Saul Bellow,3.71,1501,19
The Charterhouse of Parma,Stendhal,3.8,18189,19
Beauty and Sadness,Yasunari Kawabata,3.82,12732,18
The Death of the Heart,Elizabeth Bowen,3.65,8331,18
"The History Of Pompey The Little: Or, The Life And Adventures Of A Lap-dog",Francis Coventry,2.92,104,17
The Adventures of Peregrine Pickle,Tobias Smollett,3.41,752,17
The Heat of the Day,Elizabeth Bowen,3.4,2510,17
A Sentimental Journey,Laurence Sterne,3.32,6013,17
Bomber,Len Deighton,4.19,3032,16
"Get Shorty (Chili Palmer, #1)",Elmore Leonard,3.96,23590,16
Look at Me,Anita Brookner,3.95,2322,16
A Flag for Sunrise,Robert  Stone,3.86,1060,16
Headlong Hall,Thomas Love Peacock,3.36,163,15
Three Soldiers,John Dos Passos,3.56,1270,15
Tom Brown's Schooldays,Thomas Hughes,3.44,2802,15
Motherless Brooklyn,Jonathan Lethem,3.86,40961,15
Rubyfruit Jungle,Rita Mae Brown,3.92,42381,15
Sophie’s Choice,William Styron,4.17,91087,15
South Wind,Norman Douglas,3.64,297,14
The Unbearable Bassington,Saki,3.76,655,14
A Month in the Country,J.L. Carr,4.12,15992,14
Tobacco Road,Erskine Caldwell,3.71,15228,13
"Justine (The Alexandria Quartet, #1)",Lawrence Durrell,3.85,9137,13
Claudine at School,Colette,3.72,2437,13
"Men at Arms (Sword of Honour, #1)",Evelyn Waugh,3.91,3283,13
Millennium People,J.G. Ballard,3.37,2665,12
The Bamboo Bed,William Eastlake,3.65,43,12
A Quiet Belief in Angels,R.J. Ellory,3.84,6571,12
"Toxic Shock (V.I. Warshawski, #5)",Sara Paretsky (Goodreads Author),4.03,9917,12
The Princesse de Clèves,Madame de La Fayette,3.35,16216,12
The Insult,Rupert Thomson,3.58,1253,11
"Sybil, or the Two Nations",Benjamin Disraeli,3.3,1185,11
"Nineteen Seventy Four (Red Riding, #1)",David Peace,3.62,5740,11
The Parasites,Daphne du Maurier,3.72,2419,11
Parade's End,Ford Madox Ford,3.87,6614,10
A Heart So White,Javier Marías,4.01,14657,10
"The Hanging Garden (Inspector Rebus, #9)",Ian Rankin (Goodreads Author),4.09,13206,10
"Nineteen Seventy Seven (Red Riding, #2)",David Peace,3.85,3401,10
"The Big Blowdown (D.C. Quartet, #1)",George P. Pelecanos,4.03,2766,9
The Strange Boarders of Palace Crescent,E. Phillips Oppenheim,3.58,33,8
Hard Revolution (Derek Strange & Terry Quinn #4),George P. Pelecanos,3.97,2647,8
Lush Life,Richard Price,3.73,14360,7
Living,Henry Green,3.67,464,7
The Great Impersonation,E. Phillips Oppenheim,3.9,971,6
A Judgement in Stone,Ruth Rendell,3.9,7372,6
The Well of Loneliness,Radclyffe Hall,3.74,16926,6
The Woodlanders,Thomas Hardy,3.89,16604,6
Live Flesh,Ruth Rendell,3.75,1657,5
The Transit of Venus,Shirley Hazzard,4,4276,4
The Old Men at the Zoo,Angus Wilson,3.35,126,3
"The Case of the Gilded Fly (Gervase Fen, #1)",Edmund Crispin,3.52,3251,3
The Swimming-Pool Library,Alan Hollinghurst,3.73,10238,3
A Dark-Adapted Eye,Barbara Vine,3.93,9616,2
A Fatal Inversion,Barbara Vine,3.94,4491,1
